,T,N,p,k,I,f,life_hi,life_lo,om_hi,om_lo,dt
145,800,500,10.0,1.5,0.75,0.1,2.5125628140703498,2.5125628140703498,0.02666666666666667,0.02666666666666667,0.5
146,800,500,10.0,1.5,0.75,0.1,0.0,0.0,0.0,0.0,0.5
147,800,500,10.0,1.5,0.75,0.1,0.0,0.0,0.0,0.0,0.5
148,800,500,10.0,1.5,0.75,0.1,0.0,0.0,0.0,0.0,0.5
149,800,500,10.0,1.5,0.75,0.1,0.0,7.537688442211049,0.02666666666666667,0.02666666666666667,0.5
150,800,500,10.0,1.5,0.75,0.1,0.0,0.0,0.0,0.0,0.5
151,800,500,10.0,1.5,0.75,0.1,0.0,0.0,0.0,0.0,0.5
152,800,500,10.0,1.5,0.75,0.1,0.0,0.0,0.0,0.0,0.5
153,800,500,10.0,1.5,0.75,0.1,0.0,0.0,0.0,0.0,0.5
154,800,500,25.0,3.0,0.5,0.1,500.0,500.0,0.08,0.08,0.5
155,800,500,25.0,3.0,0.5,0.1,0.0,0.0,0.0,0.0,0.5
156,800,500,25.0,3.0,0.5,0.1,0.0,0.0,0.0,0.0,0.5
157,800,500,25.0,3.0,0.5,0.1,0.0,0.0,0.0,0.0,0.5
158,800,500,25.0,3.0,0.5,0.1,0.0,0.0,0.0,0.0,0.5
159,800,500,25.0,3.0,0.5,0.1,0.0,0.0,0.0,0.0,0.5
160,800,500,25.0,3.0,0.5,0.1,266.3316582914573,266.3316582914573,0.08,0.08,0.5
161,800,500,25.0,3.0,0.5,0.1,190.95477386934675,190.95477386934675,0.08,0.08,0.5
162,800,500,25.0,3.0,0.5,0.1,500.0,500.0,0.08,0.08,0.5
163,800,500,25.0,3.0,0.5,0.1,500.0,500.0,0.08,0.08,0.5
164,800,500,25.0,3.0,0.5,0.1,500.0,500.0,0.08,0.08,0.5
165,800,500,25.0,2.0,0.25,0.1,0.0,0.0,0.0,0.0,0.5
166,800,500,25.0,2.0,0.25,0.1,0.0,0.0,0.0,0.0,0.5
167,800,500,25.0,2.0,0.25,0.1,0.0,0.0,0.0,0.0,0.5
168,800,500,25.0,2.0,0.25,0.1,500.0,500.0,0.02666666666666667,0.02666666666666667,0.5
169,800,500,25.0,2.0,0.25,0.1,0.0,0.0,0.0,0.0,0.5
170,800,500,25.0,2.0,0.25,0.1,0.0,0.0,0.0,0.0,0.5
171,800,500,25.0,2.0,0.25,0.1,0.0,0.0,0.0,0.0,0.5
172,800,500,25.0,2.0,0.25,0.1,0.0,0.0,0.0,0.0,0.5
173,800,500,25.0,2.0,0.25,0.1,0.0,0.0,0.0,0.0,0.5
174,800,500,25.0,2.0,0.25,0.1,0.0,0.0,0.0,0.0,0.5
